MSI_DO_YOU_AGREE	동의 하십니까?
MSI_STORE_PASSWORD_CHANGE_NG	비밀번호 변경이 실패하였습니다.
MSI_STORE_PASSWORD_4_8	비밀번호는 4자리 이상 8자리이하여야만 합니다.
MSI_STORE_PASSWORD	비밀번호
MSI_STORE_NEW_PASSWORD	신규 비밀번호
MSI_STORE_RENEW_PASSWORD	확인 비밀번호
MSI_STORE_PASSWORD_CHANGE_OK	비밀번호 변경이 완료되었습니다.
MSI_STORE_PASSWORD_MISMATCH	비밀번호가 서로 다릅니다.
MSI_STORE_PASSWORD_INPUT	비밀번호 입력
MSI_HOMUN_HUNGRY	호문이 아사 직전입니다! 먹이를 주지 않으면 가출하게됩니다.
MSI_HOMUN_EXP	경험치
MSI_EVENT_RESULT	수령하지 않은 아이템이 존재합니다. 알베르타의 존다 기획사 직원을 찾아주세요. ^ff0000※ 아이템 수령 기간이 지나면 아이템이 소실 됩니다!^000000
MSI_HATE	싫어함
MSI_VERYHATE	매우싫어함
MSI_HOMUN_USERAI_ON	호문클루스가 사용자 인공지능으로 동작합니다.
MSI_HOMUN_USERAI_OFF	호문클루스가 기본 인공지능으로 동작합니다.
MSI_MAIL_LIST	편지목록
MSI_MAIL_WRITE	편지쓰기
MSI_MAIL_READ	편지읽기
MSI_STARPLACE_ACCEPT	한번 지정하시면 변경이 불가능합니다!     이 맵으로 지정하시겠습니까?
MSI_MAIL_ADD_ITEM_SUCCESS	메일 아이템을 수령했습니다.
MSI_MAIL_ADD_ITEM_FAILURE	메일 아이템을 수령하지 못했습니다.
MSI_MAIL_SEND_SUCCESS	메일 보내기가 성공하였습니다.
MSI_MAIL_USER_NOT_FOUND	메일 보내기가 실패하였습니다. 받는 사람이 존재하지 않습니다.
MSI_STAR_ANGEL	[태양과 달과 별의 천사] 지정했던 장소들과 몬스터들이 초기화됐습니다!
MSI_AUCTION_ADD_FALSE	경매 등록이 실패했습니다.
MSI_AUCTION_ADD_TRUE	경매 등록이 성공했습니다.
MSI_AUCTION_ADD_CANCEL	해당 경매가 취소되었습니다.
MSI_AUCTION_ADD_CANCEL_FALSE	입찰자가 있는 경매는 취소할 수 없습니다.
MSI_MAIL_DELETE_SUCCESS	메일 삭제가 성공하였습니다.
MSI_MAIL_DELETE_FAILURE	메일 삭제가 실패하였습니다.
MSI_MSG_KNIFE_EQUIPMENT_SUCCESS	던지는 단검이 장착되었습니다.
MSI_LOGIN_FRIEND	%s 님이 로그인했습니다.
MSI_LOGOUT_FRIEND	%s 님이 로그아웃했습니다.
MSI_EXPLAIN_LOGINOUT	/loginout 또는 /li : 길드원과 친구들의 접속관련 메세지를 보여줍니다. On Off
MSI_LOGINOUT_ON	친구들의 접속관련 메세지를 대화창에 표시합니다. [/li ON]
MSI_LOGINOUT_OFF	친구들의 접속관련 메세지를 대화창에 표시하지않습니다.  [/li OFF]
MSI_SGP_CODE_ALREADY_RUNNING	이미 실행중입니다.
MSI_SGP_CODE_DETECTED_MACRO	매크로 사용이 감지되었습니다.
MSI_SGP_CODE_DETECTED_SPEEDHACK	스피드해킹이 감지되었습니다.
MSI_SGP_CODE_DETECTED_APIHOOK	API 후킹이 감지되었습니다.
MSI_SGP_CODE_DETECTED_MSGHOOK	메시지 후킹이 감지되었습니다.
MSI_SGP_CODE_NOT_EQUALENCRYPTEDDATA	모듈이 변조 또는 손상되었거나 버전이 일치하지 않습니다.
MSI_BILLING_PCB	(태국)귀하는 게임방 과금으로 로그인 하셨습니다.
MSI_PREV_PAGE	이전
MSI_NEXT_PAGE	다음
MSI_AUCTION	경매
MSI_AUCTION_VIEW	물품보기
MSI_AUCTION_ADD	등록하기
MSI_AUCTION_SELL	판매 진행상태
MSI_AUCTION_BUY	구매 진행상태
MSI_ITEM2	아이템
MSI_ITEM_NAME2	아이템명
MSI_ITEM_PRICE	가격 / 즉시구입가격
MSI_SELLER	판매자
MSI_BUYER	구매자
MSI_FINISH_TIME	종료시간
MSI_TIME_TYPE	%m월 %d일 %H시
MSI_SET_TIME	시간설정
MSI_CHARGE	수수료
MSI_NOTHING_SEARCH_ITEM	검색된 아이템이 없습니다.
MSI_NOTHING_SEARCH_SELL_ITEM	현재 판매중인 아이템이 없습니다.
MSI_NOTHING_SEARCH_BUY_ITEM	현재 구매중인 아이템이 없습니다.
MSI_ERROR_AUCTION_ITEM_INFO	경매정보가 정확하지 않습니다.
MSI_NOTHING_AUCTION_ITEM_INFO	경매에 등록할 아이템 정보가 없습니다.
MSI_ERROR_ADD_AUCTION	이미 등록된 경매입니다.
MSI_PRICE	제시가격
MSI_PRICE2	구입희망가격
MSI_PRICE3	즉시구입가격
MSI_PRICE4	현재소지제니
MSI_PRICE5	현재최고가격
MSI_PRICE6	이전입찰가격
MSI_PRICE7	추가입찰가격
MSI_BUY_ACTION_ITEM	구입하시겠습니까?
MSI_SELL_ACTION_ITEM	이 가격에 판매하시겠습니까?
MSI_BUY_AUCTION	입찰하기
MSI_BUY_AUCTION2	즉시구매하기
MSI_BUY_AUCTION3	경매종료하기
MSI_FINISH_AUCTION	재입찰하기
MSI_RESULT_BUY_TRUE	해당 경매에 대한 입찰이 성공했습니다.
MSI_RESULT_BUY_FALSE	해당 경매에 대한 입찰이 실패했습니다.
MSI_RESULT_BUY_FALSE_MONEY	제니가 충분하지 않습니다.
MSI_EQUIP	방어구
MSI_CARD	카드
MSI_ETC	기타
MSI_AUCTION_NUM	경매번호
MSI_AUCTION_SEARCH	검색
MSI_RESULT_MY_SELL_STOP_TRUE	해당 경매를 종료했습니다.
MSI_RESULT_MY_SELL_STOP_FALSE	해당 경매를 종료 할 수 없습니다.
MSI_RESULT_AUCTION_ID_FALSE	경매 번호가 정확하지 않습니다.
MSI_SENDER	받는이
MSI_TITLE2	제 목
MSI_NEW_MAIL	새 메일이 도착하였습니다.
MSI_SEARCHING_ITEM	검색중입니다.
MSI_AUCTION_ADD_OVER	더 이상 경매 등록할 수 없습니다. 경매 등록은 최대 5개까지 가능합니다.
MSI_RESULT_BUY_OVER	더 이상 경매 물품에 입찰할 수 없습니다. 경매 물품 입찰은 최대 5개까지 가능합니다.
MSI_MAIL_DELETE_ERROR	삭제하려는 메일에 수령하지 않은 아이템이 있습니다.
MSI_MAIL_SEND_ERROR	메일 제목을 입력하여 주십시오.
MSI_EXPLAIN_SHOPPING	/shopping : 클릭 한번으로 상점을 열고 상점이름 오른쪽 클릭으로 상점을 닫습니다 On Off
MSI_SHOPPING_ON	클릭 한번으로 상점을 열고 상점이름을 오른쪽 클릭해서 상점을 닫을수있습니다. [/sh ON]
MSI_SHOPPING_OFF	더블클릭 으로 상점을 열게됩니다.  [/sh OFF]
MSI_MAIL_SEND_ERROR2	메일을 보내려면, 제니 입력을 완료해야 합니다.
MSI_ADD_MONEY_FALSE	경매 수수료가 부족합니다.
MSI_HOMUN_SHOWINFO	상태보기
MSI_HOMUN_FEEDING	먹이주기
MSI_HOMUN_WAITING	대기
MSI_JOB_SUPERNOVICE_M	슈퍼노비스(남)
MSI_JOB_SUPERNOVICE_F	슈퍼노비스(여)
MSI_JOB_TAEKWON_M	태권소년
MSI_JOB_TAEKWON_F	태권소녀
MSI_KWONSUNG_M	권성(남)
MSI_KWONSUNG_F	권성(여)
MSI_SOULLINGKER_M	소울링커(남)
MSI_SOULLINGKER_F	소울링커(여)
MSI_BAN_PC_IP_UNFAIR	PC방요금제로 2개이상의 계정이 접속되고있습니다. 확인후 다시 사용하시기 바랍니다.
MSI_BILLING_1	귀하는 월정액 요금제 사용자 입니다. (남은기간 : %d일)
MSI_BILLING_2	귀하는 정량 요금제 사용자 입니다. (남은시간 : %d시간 %분 %초)
MSI_MAIL_ITEM_ADD_FAILED	해당 아이템은 메일에 첨부 할수 없는 아이템입니다.
MSI_MAIL_ADD_ITEM_OVER_FAILURE	더이상 아이템을 가질수 없습니다. 아이템은 메일로 보관하겠습니다.
MSI_PTSEX1	남성
MSI_PTSEX2	여성
MSI_PT_NEWUSER	새로운 유저입니다
MSI_PT_ACINFO	E-mail은 캐릭터를 지울때 필요합니다.
MSI_PT_ACINFO2	정확한 형식으로 입력해 주세요.
MSI_PT_NEWKEYINFO	이 키를 사용하세요
MSI_PT_FAIL_CARDPASS	정확한 카드 패스워드를 다시 입력해주세요
MSI_PTID1	PT정보
MSI_PTID2	PT_ID는 %s
MSI_PTID3	NUM_ID는 %s
MSI_PTID4	잊지않게 주의하세요
MSI_PT_ERROR_1001	1001
MSI_PT_ERROR_1002	1002
MSI_PT_ERROR_1003	1003
MSI_PT_ERROR_1004	1004
MSI_PT_ERROR_1006	1006
MSI_PT_ERROR_1007	1007
MSI_PT_ERROR_1008	1008
MSI_PT_ERROR_1009	1009
MSI_PT_ERROR_1012	1012
MSI_PT_ERROR_1013	1013
MSI_PT_ERROR_1014	1014
MSI_PT_ERROR_1015	1015
MSI_PT_ERROR_1019	1019
MSI_PT_ERROR_1020	1020
MSI_PT_ERROR_1021	1021
MSI_PT_ERROR_1023	1023
MSI_PT_ERROR_1024	1024
MSI_PT_ERROR_1025	1025
MSI_PT_ERROR_1027	1027
MSI_PT_ERROR_1028	1028
MSI_PT_ERROR_10	10
MSI_PT_ERROR_20	20
MSI_PT_ERROR_40	40
MSI_PT_ERROR_50	50
MSI_PT_ERROR_60	60
MSI_PT_ERROR_70	70
MSI_PT_ERROR_80	80
MSI_PT_ERROR_90	90
MSI_PT_ERROR_100	100
MSI_PT_ERROR_110	110
MSI_PT_POINT1	30포인트를 받으시겠습니까?
MSI_PT_POINT2	30포인트(5시간)이 충전되었습니다
MSI_AUCTION_ADD_ITEM_FAILURE	감정되지 않은 아이템은 경매에 등록할 수 없습니다.
MSI_AUCTION_ADD_ITEM_FAILURE2	소비 아이템은 경매에 등록할 수 없습니다.
MSI_CLOSE_MERCHANTITEMWND	메일창을 열려면 카트창을 닫아 주십시요.
MSI_CLOSE_MAILWND	카트창을 열려면 메일창을 닫아 주십시요.
MSI_MSG_BULLET_EQUIPMENT_SUCCESS	탄환이 장착되었습니다.
MSI_MAIL_RETURN_SUCCESS	메일이 반송되었습니다.
MSI_MAIL_RETURN_FAILURE	메일이 존재하지 않습니다.
MSI_BAN_PC_IP_COUNT_ALL	한시간 동안, 동일한 IP로 접속한 유저가 30건 이상입니다. 확인후 다시 사용하시기 바랍니다.
MSI_BAN_PC_IP_COUNT	한시간 동안, 동일한 IP로 10번 이상 접속되었습니다. 확인후 다시 사용하시기 바랍니다.
MSI_GAMEGUARD_RESTART	게임을 재시작 하십시오 
MSI_MER_INFO_TYPE_ARCHER	용병정보 - 아쳐타입
MSI_MER_INFO_TYPE_SWORDMAN	용병정보 - 검사타입
MSI_MER_INFO_TYPE_LANCER	용병정보 - 창병타입
MSI_LEFT_TIME	삭제시간
MSI_MER_FRIENDLY	신뢰도
MSI_MER_CALLCOUNT	소환횟수
MSI_MER_KILL	Kill
MSI_PET_STARVING	펫이 배가 고파서 당신을 원망하고 있다는 느낌이 든다.
MSI_GANGSI_POINT	[POINT] 테이밍미션 랭킹포인트가 %d 상승해서 %d 포인트가 되었습니다.
MSI_GANGSI_MISSION	[테이밍미션] Target Monster : %s
MSI_EXPLAIN_HUNTING	/hunting : 사냥 목록을 보여줍니다.
MSI_DEATH_Q01	[천사의질문] 소녀에게 가르쳐주시어요. %s는 몇 스킬 찍으셨나요?
MSI_DEATH_Q02	[천사의질문] 소녀에게 가르쳐주시어요. 소지하시고있는 제니를 십만으로 나누면 얼마가 되시나요?
MSI_DEATH_Q03	[천사의질문] 소녀에게 가르쳐주시어요. 오늘이 몇일이신지 아시나요?
MSI_DEATH_Q04	[천사의질문] 소녀에게 가르쳐주시어요. %s은 지금 몇이신가요?
MSI_DEATH_Q05	[천사의질문] A는 1이고 Z는 26이어요. 슈노, 태권계열, 무낙계열을 담당하고있는 SiYeon씨의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q06	[천사의질문] A는 1이고 Z는 26이어요. 귀엽고 어여쁜 라그나로크의 히로인 Munak의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q07	[천사의질문] A는 1이고 Z는 26이어요. 제가 어여뻐하는 Bongun의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q08	[천사의질문] A는 1이고 Z는 26이어요. 저희가 존재하는 온라인세계 Ragnarok의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q09	[천사의질문] A는 1이고 Z는 26이어요. 언제나 Online상태인 천사동료들은 큰힘이 되어주죠. Online의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q10	[천사의질문] A는 1이고 Z는 26이어요. 죽음도 두려워하지않는 기사들을 상징하는 단어인 Death의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q11	[천사의질문] A는 1이고 Z는 26이어요. 기사들은 너무 멋진다고 생각해요. Knight의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q12	[천사의질문] A는 1이고 Z는 26이어요. 중력을 뜻하는 단어인 Gravity의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q13	[천사의질문] A는 1이고 Z는 26이어요. 어둠속에서도 밝게 사는게 중요하지요. Dark의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_Q14	[천사의질문] A는 1이고 Z는 26이어요. 뭐든지 수집하는 Collector의 알파벳을 더하면 몇이 되나요?
MSI_DEATH_R01	[천사의대답] 소녀에게 정확한 사실을 가르쳐주셔서 감사하옵니다.
MSI_DEATH_R02	[천사의대답] 사랑스러우신 분이시군요. 소녀 감탄했사옵니다.
MSI_DEATH_R05	[천사의대답] 소녀 실망했사옵니다.
MSI_DEATH_POINT	[POINT] 랭킹포인트가 %d 상승해서 %d 포인트가 되었습니다.
MSI_POINT_SHOP	[%s]의 소지 캐시 : %d 캐시
MSI_CONFIRM_SELECT_CHARACTERS	선택하지 않은 캐릭터는 삭제 됩니다. 완료하시겠습니까?
MSI_ERROR_SELECT_CHARACTERS	9개 이상 선택하실 수 없습니다.
MSI_CONFIRM_TO_CHANGE_NAME	캐릭터명을 '%s' (으)로 변경하시겠습니까?
MSI_CHANGE_NAME_SUCCESS	캐릭터명이 성공적으로 변경되었습니다.
MSI_CHANGE_NAME_FAILURE	캐릭터명 변경이 실패하였습니다.
MSI_CAN_BUY_ONLY_ONEITEM	한 번에 한 종류의 아이템만 구매할 수 있습니다.
MSI_NO_SELECT_CHARACTERS	캐릭터가 한개도 선택되지 않았습니다.  반드시 한개 이상의 캐릭터를 선택하여야 합니다.
MSI_ALREADY_CHANGED_NAME	이미 캐릭터명을 변경한 적이 있습니다. 더 이상 변경 할 수 없습니다.
MSI_NOTREGISTED_USER	사용자 정보가 정확하지 않습니다.
MSI_DUPLICATED_CHAR_NAME	다른 사용자가 같은 캐릭터 명을 먼저 사용하였습니다. 다른 캐릭터명을 사용하여 주십시요.
MSI_CANNOT_PARTYCALL	파티장 권한이 없어 파티원을 소환하지 못했습니다.
MSI_NO_PARTYMEM_ON_THISMAP	현재 맵에는 소환될 파티원이 존재하지 않습니다.
MSI_NOTFIND_BOSSMON	이 지역에선 보스몬스터의 흔적을 찾을 수가 없습니다.
MSI_APPEARANCE_TIME_OF_BOSSMON	보스 몬스터 '%s'(이)가  %d시간 %d분 후에 등장합니다.
MSI_SHOW_POSITION_OF_BOSSMON	보스 몬스터 '%s'의 위치가 미니맵에 표시됩니다.
MSI_CONFIRM_TO_OPEN_CASH_ITEM	'%s'를 개봉 하시겠습니까?  ^ff0000상자를 개봉하시면 청약 철회 대상에서 제외 됩니다.^000000 한번 개봉 된 아이템은 창고 저장 외의 다른 이동은 불가하며 임대 아이템은 창고 저장도 불가합니다. 한정 아이템은 거래 및 이동이 가능 합니다. 동일한 아이템을 중복 사용하더라도 효과가 중첩되지 않습니다.
MSI_BUY_CASH_FAIL_NPC	NPC가 존재하지 않아 구매가 실패하였습니다.
MSI_BUY_CASH_FAIL_SYSTEM	부분 유료화 시스템이 정상 작동하지 않아 구매가 실패하였습니다.
MSI_BUY_CASH_FAIL_EXCHANGE	교환중에는 아이템을 구매 할 수 없습니다.
MSI_BUY_CASH_FAIL_ITEM_ID	아이템 정보가 정확하지 않아 구매가 실패하였습니다.
MSI_ENST_STR	 STR이 향상되었습니다.
MSI_DSST_STR	 STR이 원래대로 돌아왔습니다.
MSI_ENST_AGI	 AGI이 향상되었습니다.
MSI_DSST_AGI	 AGI이 원래대로 돌아왔습니다.
MSI_ENST_VIT	 VIT이 향상되었습니다.
MSI_DSST_VIT	 VIT이 원래대로 돌아왔습니다.
MSI_ENST_INT	 INT이 향상되었습니다.
MSI_DSST_INT	 INT이 원래대로 돌아왔습니다.
MSI_ENST_DEX	 DEX이 향상되었습니다.
MSI_DSST_DEX	 DEX이 원래대로 돌아왔습니다.
MSI_ENST_LUK	 LUK이 향상되었습니다.
MSI_DSST_LUK	 LUK이 원래대로 돌아왔습니다.
MSI_ENST_AVOIDANCE	 회피율이 향상되었습니다.
MSI_DSST_AVOIDANCE	 회피율이 원래대로 돌아왔습니다.
MSI_ENST_HIT	 명중률이 향상되었습니다.
MSI_DSST_HIT	 명중률이 원래대로 돌아왔습니다.
MSI_ENST_CRITICALSUCCESSVALUE	 크리티컬 확률이 향상되었습니다.
MSI_DSST_CRITICALSUCCESSVALUE	 크리티컬 확률이 원래대로 돌아왔습니다.
MSI_PLUSEXP	 30분간 얻을 수 있는 경험치가 50%% 증가합니다.
MSI_DDEATHPENALTY	 30분내 사망시 1회에 한해 경험치 감소가 일어나지 않습니다.
MSI_RECEIVEITEM	 몬스터 사냥을 통해 얻을 수 있는 기본 아이템의 드롭률이 30분간 2배로 증가합니다.
MSI_BOSS_ALARM	 10분간 맵 내에 출현 가능한 보스 몬스터에 대한 정보를 안내해 드립니다.
MSI_BUY_RECONFIRM	 ^ff0000본 아이템을 구매 후 7일 이내에는 청약 철회가 가능합니다. 다만, 7일이 지났거나 아이템을 개봉하시면 청약 철회 대상에서 제외 됩니다.또한 구매시 사용된 무료캐시는 청약철회시 반환되지 않습니다.^000000 정말로 아이템을 구매하시겠습니까? 구매하실 경우 %d캐시가 차감됩니다.
MSI_BUY_CASH_FAIL_MONEY	 캐시가 부족합니다.
MSI_NOTICE_TO_DELETE_TIME	 ^ff0000파기일시: %s^000000
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME	 '%s'아이템의 사용시간이 %d분 남았습니다.
MSI_LAST_NOTICE_TO_REMAIN_ITEMUSINGTIME	 1분 후, '%s'아이템이 인벤토리에서 삭제됩니다.
MSI_NOTICE_TO_DELETE_ITEM	 '%s'아이템이 인벤토리에서 삭제되었습니다.
MSI_INPUT_NUMBER	Input Number
MSI_TIME_TYPE2	%m월 %d일 %H시 %M분
MSI_APPEARANCE_TIME_OF_BOSSMON2	보스 몬스터 '%s'(이)가 잠시 후에 등장합니다.
MSI_MER_SKILLLIST	용병 스킬목록
MSI_DA_EXP_ACCEPT	블랙젬스톤 1개와 백만제니를 소모하는 마법의 실행에 동의합니까?
MSI_COLLECTOR_POINT	[POINT] 콜렉터랭킹 포인트가 %d 상승해서 %d 포인트가 되었습니다.
MSI_COLLECTOR_MISSION	[콜렉터랭킹] Target Item : %s
MSI_MER_FINISH	용병 사용시간이 만료되었습니다.
MSI_MER_DIE	용병이 사망하였습니다.
MSI_MER_RETIRE	용병이 해고되었습니다.
MSI_MER_RUNAWAY	용병이 도망갔습니다.
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME2	 '%s'아이템의 사용시간이 %d초 남았습니다.
MSI_PCBANG_EVENT	PC방 프리미엄 서비스 : 경험치 %d%% 증가, 사망 페널티 %d%% 감소, 드롭율 %d%% 증가
MSI_LIMIT_CHAR_DELETE	24시간 이후에 시도하세요
MSI_MER_USERAI_ON	용병이 사용자 인공지능으로 동작합니다.
MSI_MER_USERAI_OFF	용병이 기본 인공지능으로 동작합니다.
MSI_CHARACTER_NAME	 %s님의
MSI_ITEM_PICKUP_PARTY	%s님이 %s 아이템을 획득하셨습니다.
MSI_VIEW_CHAT_MSG	공개 채팅 메시지 표시
MSI_VIEW_WHISPER_MSG	귓속말 채팅 메시지 표시
MSI_VIEW_PARTY_MSG	파티 채팅 메시지 표시
MSI_VIEW_GUILD_MSG	길드 채팅 메시지 표시
MSI_VIEW_GET_ITEM_MSG	아이템 획득/드롭 메시지 표시
MSI_VIEW_EQUIP_MSG	장비 장착/해제 메시지 표시
MSI_VIEW_CHANGE_STATUS_MSG	상태이상 메시지 표시
MSI_VIEW_GET_ITEM_PARTY_MSG	파티원의 주요 아이템 획득 메시지 표시
MSI_VIEW_CHANGE_STATUS_PARTY_MSG	파티원의 상태이상 메시지 표시
MSI_VIEW_FAIL_SKILL_MSG	스킬 사용 실패 메시지 표시
MSI_VIEW_PARTY_SETUP_MSG	파티 설정 메시지 표시
MSI_VIEW_DAMAGED_EQUIP_MSG	장비 손상 메시지 표시
MSI_BATTLE_CHAT_WND_OPTION	배틀 메시지 창 표시 정보
MSI_POINT_SHOP_NHN	[%s]의 소지 한코인 : %d 한코인
MSI_ST_CHAT	일반 메시지
MSI_BT_CHAT	배틀 메시지
MSI_PHONE_CONFIRM	휴대폰 인증.
MSI_BOOK_READ	읽기
MSI_BOOK_AUTOREAD	자동낭독
MSI_BOOK_KEEP	책갈피
MSI_BOOK_PREV	이전페이지
MSI_BOOK_NEXT	다음페이지
MSI_BOOK_CLOSE	닫기
MSI_DAMAGED_EQUIP	%s 장비가 손상되었습니다.
MSI_DAMAGED_EQUIP_PARTY	%s님의 %s 손상되었습니다.
MSI_DAMAGED_WEAPON	무기가
MSI_DAMAGED_BODY	갑옷이
MSI_NOT_ENOUGH_SKILLLEVE5_2	스킬레벨이 부족합니다. 파티가입 불능
MSI_POINT_SHOP2	[%s]의 무료 캐시 : %d 캐시
MSI_USE_FREE_POINT	무료 캐시 사용 : 
MSI_CASH	캐시
MSI_SETTLE_WEB_URL_HANGAME	http://payment.ro.hangame.com/index.asp
MSI_BAN_GRAVITY_MEM_AGREE	그라비티 회원 정보동의를 하셔야 사용할 수 있습니다.
MSI_BAN_GAME_MEM_AGREE	이용약관에 동의를 하셔야 본 서비스를 이용하실 수 있습니다.
MSI_BAN_HAN_VALID	입력하신 아이디와 비밀번호가 등록된 정보와 일치하지 않습니다.
MSI_BUY_RECONFIRM2	 ^ff0000본 아이템을 구매 후 7일 이내에는 청약 철회가 가능합니다. 다만, 7일이 지났거나 아이템을 개봉하시면 청약 철회 대상에서 제외 됩니다.또한 구매시 사용된 무료캐시는 청약철회시 반환되지 않습니다.^000000 정말로 아이템을 구매하시겠습니까? 구매하실 경우 일반 %d캐시, 무료 %d캐시가 차감됩니다.
MSI_NOTIFY_PLAYTIME1	%d시간이 경과하였습니다.
MSI_NOTIFY_PLAYTIME2	%d시간 %d분이 경과하였습니다.
MSI_WARNING_MSG1	게임을 종료하세요, 경험치 및 모든게 50%로 조정됩니다
MSI_WARNING_MSG2	불건전 시간대에 접어들었습니다. 게임을 종료하세요, 경험치 및 모든게 0%로 조정됩니다
MSI_QUESTWIN	퀘스트 목록
MSI_RO_SHOP	RO SHOP
MSI_MDUNGEON_SUBSCRIPTION_ERROR_UNKNOWN	메모리얼던젼 '%s'의 예약이 알수없는 이유로 실패 하였습니다.
MSI_MDUNGEON_SUBSCRIPTION_ERROR_DUPLICATE	메모리얼던젼 '%s'의 예약이 예약중복으로 실패 하였습니다.
MSI_MDUNGEON_SUBSCRIPTION_ERROR_RIGHT	메모리얼던젼 '%s'의 예약이 권한문제로 실패 하였습니다.
MSI_MDUNGEON_SUBSCRIPTION_ERROR_EXIST	메모리얼던젼 '%s'의 예약이 중복생성요청으로 실패하였습니다.
MSI_MDUNGEON_SUBSCRIPTION_CANCEL_FAIL	메모리얼던젼 '%s'의 예약취소가 실패 하였습니다.
MSI_JOINMSG_REFUSE	상대방이 파티 초대 거부 상태입니다.
MSI_INVITE_PARTY_REFUSE	모든 파티 초대를 거부합니다.
MSI_INVITE_PARTY_ACCEPT	모든 파티 초대를 수락합니다.
MSI_YOURITEM_EQUIP	착용하시면 이 아이템은 영구 귀속됩니다. 착용하시겠습니까?
MSI_YOURITEM_EQUIPED	%s 아이템이 귀속되었습니다.
MSI_BUY_TO_FREE_POINT	캐시가 부족합니다. 무료 캐시 포인트를 입력해 주시기 바랍니다.
MSI_REQ_JOIN_PARTY3	파티 가입요청
MSI_VIEW_SIEGE_INFO_MSG	공성 정보 메시지 표시
MSI_MDUNGEON_SUBSCRIPTION_CANCEL_SUCCESS	메모리얼던젼 '%s'의 예약이 취소 되었습니다.
MSI_MDUNGEON_CREATE_FAIL	메모리얼던젼 '%s' 생성에 실패하였습니다. 다시 시도 하세요.
MSI_IMPOSSIBLE_SKILL_AREA	이 장소에서는 사용할 수 없는 스킬입니다.
MSI_IMPOSSIBLE_USEITEM_AREA	이 장소에서는 사용할 수 없는 아이템입니다.
MSI_MEMORIAL_DUN	메모리얼 던전
MSI_MEMORIAL_DUN_WAITING	%s 대기중
MSI_MEMORIAL_DUN_READY	%s 입장 가능
MSI_MEMORIAL_DUN_IN	%s 진행중
MSI_MEMORIAL_DUN_OUT1	시간 안에 입장하지 않아 메모리얼 던전이 사라졌습니다.
MSI_MEMORIAL_DUN_OUT2	이용하시려면 이용 신청을 처음부터 다시 해주시기 바랍니다.
MSI_MEMORIAL_DUN_PRIORITY	대기 순위 : ^ff0000%d^000000
MSI_MEMORIAL_DUN_NOTIFY	^ff0000%s^000000 내에 입장하지 않을 경우 신청하신 던전이 삭제 됩니다.
MSI_MEMORIAL_DUN_NOTIFY2	던전 미션 제한 시간 : 
MSI_MEMORIAL_DUN_CANCEL	메모리얼 던전 예약이 취소되었습니다.
MSI_MEMORIAL_DUN_LIVE_TIME_OUT	메모리얼 던전이 유지 시간 제한에 의해 파괴되었습니다.
MSI_MEMORIAL_DUN_ENTER_TIME_OUT	메모리얼 던전이 입장 시간 제한에 의해 파괴되었습니다.
MSI_MEMORIAL_DUN_DESTROY_REQUEST	메모리얼 던전이 삭제 되었습니다.
MSI_MEMORIAL_DUN_ERROR	메모리얼 던전에 통신 장애가 발생하였습니다. 정상적인 게임 진행을 위해 잠시 후, 재접속을 해주십시오.
MSI_FR_INVALID_SLOT	사용할 수 없는 슬롯입니다.
MSI_FR_BASELVL	Base Level이 15를 넘었습니다.
MSI_FR_INVALID_JOBLV	Job Level이 15를 넘었습니다.
MSI_FR_JOB	해당슬롯 캐릭터에 직업군의 상인이므로 게임을 할 수 없습니다.
MSI_FR_MAP	추후 사용예정
MSI_FR_ERR_MKCHAR_INVALID_SLOT	만들수 있는 케릭터 슬롯이 아닙니다.
MSI_FR_ERR_DELCHAR_INVALID_SLOT	삭제할 수 없는 케릭터 입니다.
MSI_OPEN_EQUIPEDITEM_REFUSED	상대방의 장비창이 공개되어 있지 않습니다.
MSI_OPEN_EQUIPEDITEM_REFUSE	장비창을 공개하지 않습니다.
MSI_OPEN_EQUIPEDITEM_ACCEPT	장비창을 공개합니다.
MSI_REQ_VIEW_OTHERUSER	(%s)님 장비창 보기
MSI_OTHERUSER_EQUIPED_ITEM	%s의 장착아이템
MSI_OPEN_EQUIPED_ITEM	장비창 공개
MSI_NEED_PREMIUM_SERVICE	프리미엄 서비스를 이용해 주시기 바랍니다.
MSI_FR_INVALID_MONEY	무료 사용자는 최대 50000제니까지 소유할 수 있습니다.
MSI_BATTLECHAT_ON	전장채팅 상태가 되었습니다.
MSI_BATTLECHAT_OFF	전장채팅 상태가 해제되었습니다.
MSI_MER_INFO_TYPE_MONSTER	용병정보 - 몬스터타입
MSI_RO_MAP	전체 맵 보기
MSI_MEMORIAL_DUN_CLOSE	메모리얼던젼이 CLOSE 상태입니다.
