﻿MSI_DO_YOU_AGREE	你同意?
MSI_CONFIRM_SELECT_CHARACTERS	未选择的字符将被删除.您确定要完成它吗?
MSI_ERROR_SELECT_CHARACTERS	您选择的数量不能超过 9 个.
MSI_CONFIRM_TO_CHANGE_NAME	您想将角色名称更改为"%s"吗?
MSI_CHANGE_NAME_SUCCESS	角色名称修改成功.
MSI_CHANGE_NAME_FAILURE	更改角色名称失败.
MSI_CAN_BUY_ONLY_ONEITEM	您一次只能购买一种类型的商品.
MSI_NO_SELECT_CHARACTERS	没有选择任何一个角色.  您必须选择多个字符.
MSI_ALREADY_CHANGED_NAME	我已经更改了我的角色名称.无法进行进一步的更改.
MSI_NOTREGISTED_USER	您的信息不正确.
MSI_DUPLICATED_CHAR_NAME	另一个用户首先使用了相同的角色名称.请使用不同的角色名称.
MSI_CANNOT_PARTYCALL	由于您不是队长,无法召唤队伍成员.
MSI_NO_PARTYMEM_ON_THISMAP	目前地图上没有可以召唤的队伍成员.
MSI_NOTFIND_BOSSMON	这片区域没有任何boss怪物的踪迹.
MSI_APPEARANCE_TIME_OF_BOSSMON	Boss 怪物"%s"将在 %d 小时 %d 分钟后出现.
MSI_SHOW_POSITION_OF_BOSSMON	首领怪物"%s"的位置显示在小地图上.
MSI_CONFIRM_TO_OPEN_CASH_ITEM	您想打开"%s"吗?  ^ff0000如果您打开箱子,您将无法取消订阅.^000000一旦打开,物品只能存放在仓库中,不能移动,并且租用的物品不能存放在仓库中.有限的物品可以交易和移动.即使多次使用同一个物品,效果也不会重叠.
MSI_BUY_CASH_FAIL_NPC	由于NPC不存在,购买失败.
MSI_BUY_CASH_FAIL_SYSTEM	由于部分支付系统无法正常工作,导致购买失败.
MSI_BUY_CASH_FAIL_EXCHANGE	兑换期间无法购买物品.
MSI_BUY_CASH_FAIL_ITEM_ID	由于商品信息不正确,购买失败.
MSI_ENST_STR	STR得到改善.
MSI_DSST_STR	STR恢复正常.
MSI_ENST_AGI	AGI 已得到改进.
MSI_DSST_AGI	AGI恢复正常.
MSI_ENST_VIT	VIT 已得到改善.
MSI_DSST_VIT	VIT恢复正常.
MSI_ENST_INT	INT 得到了改善.
MSI_DSST_INT	INT恢复正常.
MSI_ENST_DEX	DEX 得到了改进.
MSI_DSST_DEX	DEX恢复正常.
MSI_ENST_LUK	LUK 已得到改善.
MSI_DSST_LUK	LUK恢复正常.
MSI_ENST_AVOIDANCE	回避率有所提高.
MSI_DSST_AVOIDANCE	回避率恢复到原来的状态.
MSI_ENST_HIT	准确性得到了提高.
MSI_DSST_HIT	精度又回到了原来的状态.
MSI_ENST_CRITICALSUCCESSVALUE	临界概率得到了提高.
MSI_DSST_CRITICALSUCCESSVALUE	临界概率又回到了原来的状态.
MSI_PLUSEXP	30分钟内获得的经验值增加50%.
MSI_DDEATHPENALTY	如果你在30分钟内死亡,你的经验值不会减少一次.
MSI_RECEIVEITEM	30分钟内,狩猎怪物获得的基础物品掉落率翻倍.
MSI_BOSS_ALARM	我们将提供可以在地图上出现10分钟的Boss怪物的信息.
MSI_BUY_RECONFIRM	^ff0000您可以在购买此商品后 7 天内撤回订阅.但是,如果超过 7 天或该商品已被打开,您就没有资格取消订阅.此外,取消订阅时用于购买的免费现金将不会退还. ^000000 您真的想购买该商品吗?购买时,将扣除%d现金.
MSI_BUY_CASH_FAIL_MONEY	点数不够啊.
MSI_NOTICE_TO_DELETE_TIME	^ff0000销毁日期:%s^000000
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME	还剩 %d 分钟可以使用"%s"项目.
MSI_LAST_NOTICE_TO_REMAIN_ITEMUSINGTIME	1 分钟后,"%s"商品将从您的库存中删除.
MSI_NOTICE_TO_DELETE_ITEM	商品"%s"已从库存中删除.
MSI_INPUT_NUMBER	Input Number
MSI_TIME_TYPE2	%m 月 %d 天 %H 时 %M 分钟
MSI_APPEARANCE_TIME_OF_BOSSMON2	首领怪物"%s"很快就会出现.
MSI_MER_SKILLLIST	雇佣兵技能列表
MSI_DA_EXP_ACCEPT	您同意执行一个需要 1 颗黑色宝石和 100 万泽尼的咒语吗?
MSI_COLLECTOR_POINT	[POINT] 收藏家排名积分增加 %d 至 %d 积分.
MSI_COLLECTOR_MISSION	[콜렉터랭킹] 目标项目:%s
MSI_MER_FINISH	佣兵使用时间已过.
MSI_MER_DIE	雇佣兵已经死了.
MSI_MER_RETIRE	雇佣兵已被解雇.
MSI_MER_RUNAWAY	雇佣兵逃跑了.
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME2	还剩 %d 秒来使用"%s"项目.
MSI_PCBANG_EVENT	网吧高级服务:经验值增加%d%%,死亡惩罚减少%d%%,掉落率增加%d%%
MSI_LIMIT_CHAR_DELETE	请24小时后尝试
MSI_MER_USERAI_ON	雇佣兵与用户人工智能一起运作.
MSI_MER_USERAI_OFF	雇佣兵使用基本的人工智能进行作战.
MSI_CHARACTER_NAME	%s 的
MSI_ITEM_PICKUP_PARTY	%s 获得了物品 %s.
MSI_VIEW_CHAT_MSG	显示公共聊天消息
MSI_VIEW_WHISPER_MSG	显示悄悄话聊天消息
MSI_VIEW_PARTY_MSG	显示队伍聊天消息
MSI_VIEW_GUILD_MSG	显示公会聊天消息
MSI_VIEW_GET_ITEM_MSG	显示物品获取/드롭消息
MSI_VIEW_EQUIP_MSG	显示装备 /해제 消息
MSI_VIEW_CHANGE_STATUS_MSG	显示异常状态信息
MSI_VIEW_GET_ITEM_PARTY_MSG	显示队员获得关键物品的信息
MSI_VIEW_CHANGE_STATUS_PARTY_MSG	显示队员状态异常信息
MSI_VIEW_FAIL_SKILL_MSG	显示技能使用失败信息
MSI_VIEW_PARTY_SETUP_MSG	显示队伍设置消息
MSI_VIEW_DAMAGED_EQUIP_MSG	显示设备损坏信息
MSI_BATTLE_CHAT_WND_OPTION	战斗消息窗口显示信息
MSI_POINT_SHOP_NHN	[%s] 拥有 Hancoin:%d Hancoin
MSI_ST_CHAT	一般信息
MSI_BT_CHAT	战斗讯息
MSI_PHONE_CONFIRM	手机认证.
MSI_BOOK_READ	读
MSI_BOOK_AUTOREAD	自动读取
MSI_BOOK_KEEP	书签
MSI_BOOK_PREV	上一页
MSI_BOOK_NEXT	下一页
MSI_BOOK_CLOSE	关闭
MSI_DAMAGED_EQUIP	%s 设备损坏.
MSI_DAMAGED_EQUIP_PARTY	%s 的 %s 已损坏.
MSI_DAMAGED_WEAPON	武器
MSI_DAMAGED_BODY	铠甲
MSI_NOT_ENOUGH_SKILLLEVE5_2	技能水平不够.无法加入队伍
MSI_POINT_SHOP2	[%s]的免费点数 :%d 点数
MSI_USE_FREE_POINT	使用免费点数:
MSI_CASH	点数
MSI_SETTLE_WEB_URL_HANGAME	http://payment.ro.hangame.com/index.asp
MSI_BAN_GRAVITY_MEM_AGREE	要使用 Gravity,您必须同意会员信息.
MSI_BAN_GAME_MEM_AGREE	您必须同意使用条款才能使用此服务.
MSI_BAN_HAN_VALID	您输入的ID和密码与注册信息不符.
MSI_BUY_RECONFIRM2	^ff0000您可以在购买此商品后 7 天内撤回订阅.但是,如果超过 7 天或该商品已被打开,您就没有资格取消订阅.此外,取消订阅时用于购买的免费现金将不会退还. ^000000 您真的想购买该商品吗?购买时,将扣除常规%d现金和免费%d现金.
MSI_NOTIFY_PLAYTIME1	%d时间已经过去了.
MSI_NOTIFY_PLAYTIME2	已过去 %d 小时 %d 分钟.
MSI_WARNING_MSG1	退出游戏,经验值和一切都会调整为50%
MSI_WARNING_MSG2	我们已经进入了一个不健康的时期.退出游戏,经验值全部调整为0%
MSI_QUESTWIN	任务列表
MSI_RO_SHOP	RO SHOP
MSI_MDUNGEON_SUBSCRIPTION_ERROR_UNKNOWN	纪念地下城"%s"的预订失败,原因不明.
MSI_MDUNGEON_SUBSCRIPTION_ERROR_DUPLICATE	由于重复预订,纪念地下城"%s"的预订失败.
MSI_MDUNGEON_SUBSCRIPTION_ERROR_RIGHT	由于权限问题,纪念地下城"%s"的预订失败.
MSI_MDUNGEON_SUBSCRIPTION_ERROR_EXIST	由于重复的创建请求,纪念地下城"%s"的预订失败.
MSI_MDUNGEON_SUBSCRIPTION_CANCEL_FAIL	取消纪念地下城"%s"的预订失败.
MSI_JOINMSG_REFUSE	对方已拒绝队伍邀请.
MSI_INVITE_PARTY_REFUSE	拒绝所有队伍邀请.
MSI_INVITE_PARTY_ACCEPT	接受所有队伍邀请.
MSI_YOURITEM_EQUIP	佩戴后,该物品将永久绑定.你想戴它吗?
MSI_YOURITEM_EQUIPED	%s 项目已被绑定.
MSI_BUY_TO_FREE_POINT	点数不足, 请检查后再次输入.
MSI_REQ_JOIN_PARTY3	请求加入队伍
MSI_VIEW_SIEGE_INFO_MSG	显示攻城信息消息
MSI_MDUNGEON_SUBSCRIPTION_CANCEL_SUCCESS	纪念地下城"%s"的预订已被取消.
MSI_MDUNGEON_CREATE_FAIL	纪念地下城"%s"创建失败.请再试一次.
MSI_IMPOSSIBLE_SKILL_AREA	该技能无法在该位置使用.
MSI_IMPOSSIBLE_USEITEM_AREA	该物品不能在此位置使用.
MSI_MEMORIAL_DUN	纪念地牢
MSI_MEMORIAL_DUN_WAITING	%s 等待
MSI_MEMORIAL_DUN_READY	%s 允许进入
MSI_MEMORIAL_DUN_IN	%s 进行中
MSI_MEMORIAL_DUN_OUT1	纪念地牢因为你没有及时进入而消失了.
MSI_MEMORIAL_DUN_OUT2	如果您想使用它,请从头开始重新申请.
MSI_MEMORIAL_DUN_PRIORITY	待命等级:^ff0000%d^000000
MSI_MEMORIAL_DUN_NOTIFY	如果您未在^ff0000%s^000000内进入,您申请的副本将被删除.
MSI_MEMORIAL_DUN_NOTIFY2	地下城任务时间限制:
MSI_MEMORIAL_DUN_CANCEL	纪念地下城的预订已被取消.
MSI_MEMORIAL_DUN_LIVE_TIME_OUT	纪念地下城因保存期限已被破坏.
MSI_MEMORIAL_DUN_ENTER_TIME_OUT	由于进入时间限制,纪念地下城已被破坏.
MSI_MEMORIAL_DUN_DESTROY_REQUEST	纪念地牢已被删除.
MSI_MEMORIAL_DUN_ERROR	纪念地下城发生了通讯故障.请稍后重新连接以正常进行游戏.
MSI_FR_INVALID_SLOT	该插槽不可用.
MSI_FR_BASELVL	基础等级超过15级.
MSI_FR_INVALID_JOBLV	工作等级已超过15级.
MSI_FR_JOB	您无法玩游戏,因为老虎机角色是商人.
MSI_FR_MAP	将来会用到
MSI_FR_ERR_MKCHAR_INVALID_SLOT	这不是一个可以创建的角色槽位.
MSI_FR_ERR_DELCHAR_INVALID_SLOT	该字符无法删除.
MSI_OPEN_EQUIPEDITEM_REFUSED	对手的装备窗口不显示.
MSI_OPEN_EQUIPEDITEM_REFUSE	设备窗口不显示.
MSI_OPEN_EQUIPEDITEM_ACCEPT	装备窗口显露出来.
MSI_REQ_VIEW_OTHERUSER	查看(%s)的设备窗口
MSI_OTHERUSER_EQUIPED_ITEM	%s 的装备物品
MSI_OPEN_EQUIPED_ITEM	装备窗口显露出来
MSI_NEED_PREMIUM_SERVICE	请使用我们的优质服务.
MSI_FR_INVALID_MONEY	免费用户最多可以拥有 50000 zeny.
MSI_BATTLECHAT_ON	战场聊天现已生效.
MSI_BATTLECHAT_OFF	战场聊天状态已取消.
MSI_MER_INFO_TYPE_MONSTER	佣兵信息-怪物类型
MSI_RO_MAP	查看完整地图
MSI_MEMORIAL_DUN_CLOSE	纪念地牢已关闭.
MSI_DELETE_MER	^ff0000^ff0000删除雇佣兵.^000000^000000 如果删除它,您迄今为止提出的所有历史记录都将被删除.您想继续吗?
MSI_MEMORIAL_DUN_OPEN	纪念地牢已开放.
MSI_PHONE_BLOCK	上述帐户尚未链接到通信安全密钥.  请先解锁安全密钥,然后再访问游戏.
MSI_BAN_PC_IP_LIMIT_ACCESS	已超出一个IP地址可连接的用户数.
MSI_QUESTGET	我有一个新任务
MSI_FINDTEXT_TO_SKILLDES	^777777学习条件:
MSI_VIEW_SKILL_DESCRIPT	查看技能说明
MSI_APPLY_SKILL_UP	使用的技能点无法返还.你想申请吗?
MSI_1TABNAME_SKILLWND	新手/第一份工作
MSI_2TABNAME_SKILLWND	次要/转移职业
MSI_RE17	该帐户使用了非法程序或试图进行黑客攻击.              区块结束时间:%s
MSI_RE18	有可能是非法程序正在运行,感染了病毒或安装了黑客工具.请运行普通客户端.我们正在努力共同创造一个光明的仙境传说.
MSI_WARNING_MSG3	您现在处于健康的游戏区,希望您享受游戏的乐趣!
MSI_PLUSONLYJOBEXP	狩猎怪物获得的工作经验增加1.25倍,持续30分钟.
MSI_PLUSEXP14532	30分钟内狩猎怪物获得的经验值增加1.2倍.
MSI_PLUSEXP14533	30分钟内狩猎怪物获得的经验值翻倍.
MSI_PLUSEXP12312	60分钟内狩猎怪物获得的经验值增加1.5倍.
MSI_NOPARTY	你不能在这张地图上组建队伍.
MSI_NOPARTY2	(%s) 所在的地图无法加入队伍.
MSI_SIMPLE_CASH_SHOP	简单的物品商店
MSI_SIMPLE_POINT_SHOP_NHN	携带总点数 :%d 点数
MSI_SIMPLE_POINT_SHOP	携带点数 :%d 点数
MSI_SIMPLE_POINT_SHOP2	免费点数 :%d 点数
MSI_MAIN_USER_CANONT_LOGIN_FREE_SERVER	主服务器用户无法访问免费服务器.
MSI_INVALID_ONETIMELIMIT	密码已过期.请重新登录.
MSI_3TABNAME_SKILLWND	第三份工作
MSI_USESKILL_FAIL_TOTARGET	该技能不能对目标使用.
MSI_USESKILL_FAIL_ANCILLA_NUMOVER	由于安西拉斯拥有数量已超过,该技能无法使用.
MSI_USESKILL_FAIL_HOLYWATER	你需要圣水.
MSI_USESKILL_FAIL_ANCILLA	需要安西拉.
MSI_USESKILL_FAIL_DUPLICATE_RANGEIN	它们不能在一定距离内重叠.
MSI_USESKILL_FAIL_NEED_OTHER_SKILL	要使用此技能,您需要其他技能.
MSI_NO_CHATTING	此地图上无法聊天.
MSI_VET_3HOUR	3个小时过去了.
MSI_VET_5HOUR	五个小时过去了.
MSI_NPGAMEMON_ERROR_GAMEGUARD	Game Guard 初始化错误或 Game Guard 文件版本过旧.请重新安装 GameGuard 安装文件并尝试运行游戏.
MSI_NPGMUP_ERROR_PARAM	ini 文件丢失或已被篡改.这可以通过安装 GameGuard 安装文件来解决.
MSI_NPGG_ERROR_COLLISION	发现与 GameGuard 存在冲突的程序.
MSI_PROOF_ERROR	坏客户.请运行普通客户端.
MSI_MOBILE_LOCKSERVER	请接收手机验证.
MSI_FAILED_MOBILE_LOCKSERVER	手机验证失败.
MSI_USESKILL_FAIL_NEED_HELPER	该技能不能单独使用.
MSI_USESKILL_FAIL_INVALID_DIR	该技能只能在特定方向上使用.
MSI_USESKILL_FAIL_SUMMON	它不能再被召唤.
MSI_USESKILL_FAIL_SUMMON_NONE	召唤的球不存在或缺失.
MSI_USESKILL_FAIL_IMITATION_SKILL_NONE	没有可用的模仿技巧.
MSI_USESKILL_FAIL_DUPLICATE	该技能不能重复使用.
MSI_USESKILL_FAIL_CONDITION	技能无法使用.
MSI_PICKUP_MAXCOUNT_LIMIT	您拥有的每件物品的数量不能超过最大数量.
MSI_NPK_ERROR_NOTADMIN	您没有管理员权限.首次运行该程序时,必须以管理员权限运行.
MSI_NPK_ERROR_DRIVERVERSION	nProtect KeyCrypt 驱动程序版本不匹配.请重新启动系统后再次运行.
MSI_NPK_ERROR_VERIFYVERSION	您正在使用WindowsXP兼容模式.兼容模式已从当前程序中删除.请重新启动该程序.
MSI_DETECT_PS2KEYLOGGER	PS/2 存在键盘记录器.
MSI_DETECT_USBKEYLOGGER	已检测到 USB 键盘驱动程序黑客攻击尝试.
MSI_DETECT_HHDUSBH	已检测到HHD监控工具.
MSI_USESKILL_FAIL_PAINTBRUSH	你需要一把画笔.
MSI_USESKILL_FAIL_II_SURFACE_PAINTS	您将需要表面油漆.
MSI_USESKILL_FAIL_POS	该技能无法在指定地点使用.
MSI_USESKILL_FAIL_HELPER_SP_INSUFFICIENT	辅助者SP不足.
MSI_BAN_OVER_CHARACTER_LIST	如果角色选择窗口中的角色数量超过%d,您将无法进入游戏.请删除不需要的字符.
MSI_USESKILL_FAIL_II_NECK_CANDY	我需要润喉糖.
MSI_USESKILL_FAIL_II_MISERABLE_TEAR	我们需要悲伤的眼泪.
MSI_USESKILL_FAIL_II_PROTECT_NECK_CANDY	你需要一些护喉糖.
MSI_USESKILL_FAIL_GC_WEAPONBLOCKING	只能与武器格挡结合使用.
MSI_USESKILL_FAIL_GC_POISONINGWEAPON	你需要一把涂有断头台十字毒药的武器.
MSI_USESKILL_FAIL_MADOGEAR	只能在骑乘魔法装备时使用.
MSI_USESKILL_FAIL_II_VULCANBULLET	你需要火神子弹.
MSI_USESKILL_FAIL_II_FUELGAS	需要 Magic Gear 燃料.
MSI_USESKILL_FAIL_II_COLDSLOWERBULLET	需要液体冷却剂.
MSI_USESKILL_FAIL_CANONBALL	装载炮弹.
MSI_USESKILL_FAIL_II_MADOGEAR_ACCELERATION	佩戴 Midogear 加速器.
MSI_USESKILL_FAIL_II_MADOGEAR_HOVERING_BOOSTER	佩戴悬浮助推器.
MSI_TOXIN	[톡신] 毒性效果已应用于武器.
MSI_PARALYZE	[패럴라이즈] 毒性效果已应用于武器.
MSI_VENOMBLEED	[베놈블리드] 毒性效果已应用于武器.
MSI_MAGICMUSHROOM	[매직 머쉬룸] 毒性效果已应用于武器.
MSI_DEATHHURT	[데스 허트] 毒性效果已应用于武器.
MSI_PHYREXIA	[파이렉시아] 毒性效果已应用于武器.
MSI_OBLIANCURSE	[오블리비언 커즈] 毒性效果已应用于武器.
MSI_RICHEND	[리치 엔드] 毒性效果已应用于武器.
MSI_USESKILL_FAIL_MADOGEAR_HOVERING	只能在悬停状态下使用.
MSI_USESKILL_FAIL_II_MADOGEAR_SELFDESTRUCTION_DEVICE	配备自毁装置.
MSI_USESKILL_FAIL_II_MADOGEAR_SHAPESHIFTER	装备变形者.
MSI_USESKILL_FAIL_GUILLONTINE_POISON	你需要断头台毒药.
MSI_USESKILL_FAIL_II_MADOGEAR_COOLING_DEVICE	安装冷却装置.
MSI_USESKILL_FAIL_II_MADOGEAR_MAGNETICFIELD_GENERATOR	佩戴磁场发生器.
MSI_USESKILL_FAIL_II_MADOGEAR_BARRIER_GENERATOR	装备屏障发生器.
MSI_USESKILL_FAIL_II_MADOGEAR_OPTICALCAMOUFLAGE_GENERATOR	佩戴光学迷彩发生器.
MSI_USESKILL_FAIL_II_MADOGEAR_REPAIRKIT	佩戴修理包.
MSI_USESKILL_FAIL_II_MONKEY_SPANNER	您将需要一把活动扳手.
MSI_SKILLINTERVAL2	[%s] 无法施展技能.
MSI_LEMIT_DELETE_LEVEL	级别 %d 或更高级别无法删除.
MSI_USESKILL_FAIL_MADOGEAR_RIDE	骑乘魔装时无法使用.
MSI_DRAGONOFF	把龙打倒
MSI_MADOOFF	降低魔法齿轮
MSI_STORE_TABNAME_0	消耗
MSI_STORE_TABNAME_1	现金
MSI_STORE_TABNAME_2	盔甲
MSI_STORE_TABNAME_3	武器
MSI_STORE_TABNAME_4	射弹
MSI_STORE_TABNAME_5	卡片
MSI_STORE_TABNAME_6	ETC
MSI_ERROR_HS_TIMEOUT	客户端响应超时超过连接并断开连接.
MSI_ERROR_DIFF_CLIENT	HackShield 文件的版本不匹配.请重新安装客户端.
MSI_USESKILL_FAIL_SPELLBOOK	你需要一本魔法书.
MSI_USESKILL_FAIL_SPELLBOOK_DIFFICULT_SLEEP	魔法书太难了,我感到昏昏欲睡.
MSI_USESKILL_FAIL_SPELLBOOK_PRESERVATION_POINT	保存点不足.
MSI_USESKILL_FAIL_SPELLBOOK_READING	我再也看不到魔法书了.
MSI_USESKILL_FAIL_II_FACE_PAINTS	需要面漆.
MSI_USESKILL_FAIL_II_MAKEUP_BRUSH	你需要一把化妆刷.
MSI_MOBILE_TIMEOVER	等待时间已超过.请重新登录.
MSI_MOBILE_ANOTHER_LOGIN	危险!同一账号已登录,请暂停手机认证流程,修改密码后重新登录.
MSI_MOBILE_WAITING_STATE	危险!同一账户目前正在等待手机验证.请暂停手机验证过程片刻,更改密码,然后重新登录.
MSI_ESC_OPTIONWND	游戏选项窗口
MSI_GRAPHIC_OPTIONWND	图形设置
MSI_SOUND_OPTIONWND	声音设置
MSI_HOTKEYWND_NOTICE1	按要更改的快捷键,或按"ESC"键将其删除.
MSI_HOTKEYWND_NOTICE2	该键不能指定为单个键.
MSI_HOTKEYWND_NOTICE3	无法指定该键.
MSI_HOTKEYWND_NOTICE4	它复制\'%s\'中使用的快捷方式.您想改变它吗?
MSI_HOTKEYWND_NOTICE5	保存的快捷键组合将被重置.您想重置吗?
MSI_HOTKEYWND_TAB1	技能栏
MSI_HOTKEYWND_TAB2	界面
MSI_HOTKEYWND_TAB3	情感
MSI_HOTKEYWND_TITLE	快捷键设置窗口
MSI_BGM	背景音
MSI_SOUND	音效
MSI_SKIN	皮肤
MSI_TINGONLY_ON	只有聊天室入口声音打开.
MSI_TINGONLY_OFF	只听到聊天室入口的声音.离开
MSI_EXPLAIN_TINGONLY	/tingonly:您只能听到聊天室入口的声音.
MSI_EMOTION_ROCK	/주먹
MSI_EMOTION_SCISSOR	/가위
MSI_EMOTION_WRAP	/보
MSI_EMOTION_LUV	/러브
MSI_EMOTION_MOBILE	/mobile
MSI_EMOTION_MAIL	/mail
MSI_EMOTION_ANTENNA0	/antenna0
MSI_EMOTION_ANTENNA1	/antenna1
MSI_EMOTION_ANTENNA2	/antenna2
MSI_EMOTION_ANTENNA3	/antenna3
MSI_EMOTION_HUM2	/hum
MSI_EMOTION_ABS	/abs
MSI_EMOTION_OOPS	/oops
MSI_EMOTION_SPIT	/spit
MSI_EMOTION_ENE	/ene
MSI_EMOTION_PANIC	/panic
MSI_EMOTION_WHISP	/whisp
MSI_HOTKEY_NOTHING	未指定
MSI_USESKILL_FAIL_CART	仅当安装在推车上时才能使用.
MSI_USESKILL_FAIL_II_THORNS_SEED	[가시나무 씨앗] 为必填项.
MSI_USESKILL_FAIL_II_BLOOD_SUCKER_SEED	[흡혈 식물 씨앗] 为必填项.
MSI_USESKILL_FAIL_NO_MORE_SPELL	它不能再被施放.
MSI_USESKILL_FAIL_II_BOMB_MUSHROOM_SPORE	[폭탄버섯포자] 为必填项.
MSI_USESKILL_FAIL_II_GASOLINE_BOOMB	[화염병] 为必填项.
MSI_USESKILL_FAIL_II_OIL_BOTTLE	[기름병] 为必填项.
MSI_USESKILL_FAIL_II_EXPLOSION_POWDER	[폭발가루] 为必填项.
MSI_USESKILL_FAIL_II_SMOKE_POWDER	[연막가루] 为必填项.
MSI_USESKILL_FAIL_II_TEAR_GAS	[최루가스] 为必填项.
MSI_USESKILL_FAIL_II_HYDROCHLORIC_ACID_BOTTLE	[염산병] 为必填项.
MSI_USESKILL_FAIL_II_HELLS_PLANT_BOTTLE	[식인식물병] 为必填项.
MSI_USESKILL_FAIL_II_MANDRAGORA_FLOWERPOT	[만드라고라의 화분] 为必填项.
MSI_YIELD_PARTYMASTER	移交队长权限
MSI_DO_YOU_REALLY_WANT_YIELD_PARTYMASTER	你真的想移交队长权限吗?
MSI_CANNOT_YIELD_PARTYMASTER	无法移交队长权限.
MSI_FAILED_CHANGE	无法更改
MSI_USESKILL_FAIL_NEED_ITEM	您将需要 [%s] %d.
MSI_ITEM_REFINING_DOWNGRADE	冶炼值下调.
MSI_USESKILL_FAIL_NEED_EQUIPMENT	您必须配备 [%s] 才能使用它.
MSI_BATTLEFIELD_LIST	战场进入设置
MSI_CANNOT_JOINTO_BATTLEFIELD	% 由于无法移动到战场,您的战场申请已被取消.
MSI_COMPLETED_JOINTO_BATTLEFIELD	
MSI_DIFFER_JOINTO_BATTLEFIELD	% 进入战场已被暂停.等待其他玩家.
MSI_STATUS_JOINTO_BATTLEFIELD	
MSI_REQ_CANCEL_JOINTO_BATTLEFIELD	如果单击"确定"按钮,您的战场申请将被取消.请点击下面的按钮.
MSI_CANCEL_JOINTO_BATTLEFIELD	%s 进入战场的申请已被取消.
MSI_MOVETO_BATTLEFIELD	一段时间后,您将移动到%s战场.请确保空间移动的稳定条件. (贸易和太空运动功能已暂停)
MSI_BATTLEFIELD_NAME	战场名称
MSI_MOVETO_SAVEPOINT	您确定要移动吗?
MSI_VIEW_SEEK_PARTY	队伍招募消息
MSI_UNVIEW_SEEK_PARTY	队伍招募消息选项已关闭.
MSI_SEEK_PARTY_DEALY	第二方支持有 10 秒的延迟.
MSI_NOTIFY_PARTY_ROLE_MASTER	队长是"%s".
MSI_ERROR_SYSTEM_ERROR_BATTLEFIELD	由于系统错误,您无法进入.
MSI_ERROR_FULL_ESROOM_BATTLEFIELD	由于等候人数太多,您将无法进入.
MSI_ERROR_DOUBLE_OFFER_BATTLEFIELD	您已经申请了.
MSI_ERROR_WAIT_TIMEOUT_BATTLEFIELD	由于超过等待时间,注册被取消.
MSI_ERROR_BATTLEFILD_ENTER_BATTLEFIELD	由于不符合报名条件,您的报名已被取消.
MSI_ERROR_DROP_ENTRANCESTATION_BATTLEFIELD	发生错误,注册被取消.
MSI_USESKILL_FAIL_COMBOSKILL	这是 [%s] 的链接技能.
MSI_USESKILL_FAIL_COMBOSKILL2	它是与特定技能相关联的技能.
MSI_USESKILL_FAIL_SPIRITS	需要 %d 机制
MSI_USESKILL_FAIL_SPIRITS2	需要一个机制
MSI_RUNESTONE_MAKEERROR_OVERCOUNT	您制作的符文石数量不能超过您拥有的最大数量.
MSI_ERROR_LIST_OPEN_BATTLEFIELD	无法接收战场列表.请检查并重试.
MSI_ERROR_LEVEL_LIMIT_BATTLEFIELD	由于等级不足,无法进入.
MSI_UPGRADESKILLERROR_MORE_FIRSTJOBSKILL	请增加%d第一份工作技能.
MSI_UPGRADESKILLERROR_MORE_SECONDJOBSKILL	请增加 %d 第 1 或第 2 工作技能.
MSI_ITEMSYOUCANCHANGE	可兑换物品
MSI_ITEMS_FOR_CHANGE	要转换的项目
MSI_SKILL_RECIPE_NOTEXIST	这是一个无法转换的组合.
MSI_SKILL_INVENTORY_WEIGHT_OVER	库存太重了.
MSI_SKILL_INVENTORY_KINDCNT_OVER	请释放库存空间.
MSI_SKILL_MATERIAL_FAIL	该材料不存在.
MSI_SKILL_SUCCESS	成功.
MSI_SKILL_FAIL	失败的.
MSI_SKILL_FAIL_MATERIAL_DESTROY	结果失败了,所有的原料都丢失了.
MSI_FAILED_CHANGE_TABNAME	您指定的选项卡名称太长且无法更改.
MSI_FAILED_ADD_TAB	无法添加更多内容.
MSI_FAILED_LOCKSERVER	认证失败.
MSI_BOT_CHECK	防止自动输入
MSI_SKILL_FAIL_MATERIAL_IDENTITY	未经鉴定的物品不能作为材料使用.
MSI_BAN_IP_BLOCK	您访问的IP无法使用仙境传说Online.请联系我们的客户支持中心或网站.
MSI_BAN_INVALID_PWD_CNT	如果密码输入错误超过6次,访问将被短时间限制.请再次检查您的个人信息.
MSI_MIX_ACCEPT	用于合成的物品会被消耗.你会介意的?
MSI_BOT_CHECK_NOTIC	请输入左侧显示的字母和数字的组合.
MSI_DESCRIBE_BATTLEFIELD	战场描述 -
MSI_BATTLEFIELD_STATUS	待机状态-
MSI_BATTLEFIELD_HELP	战场入口申请帮助
MSI_BAN_NOT_ALLOWED_JOBCLASS	对不起.目前禁止该职业的角色登录进行测试.
MSI_REMOVE_EQUIPEDITEM	解锁所有装备
MSI_MINI_ICON	迷你图标
MSI_BATTLEFIELD_TEAM	A 营地:B 营地
MSI_WAIT_STATUS	队列
MSI_NOTIFY_BATTLEFIELD_CANCEL	战场申请取消通知
MSI_BATTLEFIELD_COUNT	战场所需人员
MSI_BATTLEFIELD_ATEAM_COUNT	战场A待命人员
MSI_BATTLEFIELD_BTEAM_COUNT	战地B待命人员
